[2025-09-14 20:42:34.118632] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:34.439896] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:34.972603] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:35.345620] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21880, 0]
[2025-09-14 20:42:36.010505] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 17512, 0]
[2025-09-14 20:42:36.136385] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 18968, 0]
[2025-09-14 20:42:36.171885] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 18968, 0]
[2025-09-14 20:42:38.870081] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:42:39.440838] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:42:53.083150] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
[2025-09-14 20:42:53.599825] 🚨 INTRUSION DETECTED! Features: [np.int64(1), np.int64(44), 0, 21944, 0]
